[1, 0, 13, 1]===[{5, 50}, {10, 93}, {10, 93}, {8, 73}, {8, 80}, {2, 18}, {2, 11}, {9, 88}, {1, 4}, {5, 45}, {6, 51}, {6, 58}, {4, 32}]===[T(10, 92, 4, ([0]))]
[1, 0, 13, 12]===[{6, 59}, {2, 20}, {1, 6}, {8, 75}, {9, 87}, {8, 76}, {6, 51}, {8, 72}, {7, 64}, {9, 82}, {4, 39}, {1, 9}, {8, 73}]===[T(8, 72, 3, ([1]))]
[1, 0, 13, 13]===[{3, 28}, {7, 66}, {9, 87}, {2, 14}, {1, 9}, {3, 30}, {10, 100}, {5, 43}, {10, 92}, {4, 37}, {8, 74}, {1, 7}, {7, 63}]===[T(5, 50, 4, ([0]))]
[1, 0, 13, 14]===[{10, 93}, {7, 67}, {4, 35}, {9, 81}, {10, 91}, {8, 72}, {4, 34}, {10, 99}, {4, 38}, {7, 68}, {9, 85}, {4, 36}, {4, 35}]===[T(1, 5, 1, ([1]))]
[1, 0, 13, 15]===[{4, 38}, {8, 78}, {1, 3}, {2, 14}, {9, 86}, {1, 9}, {8, 73}, {1, 7}, {4, 40}, {2, 18}, {1, 9}, {6, 52}, {10, 96}]===[T(9, 88, 4, ([0]))]
[1, 0, 13, 16]===[{3, 30}, {7, 69}, {1, 9}, {8, 79}, {5, 47}, {6, 54}, {4, 36}, {5, 48}, {1, 2}, {9, 89}, {4, 33}, {8, 76}, {4, 40}]===[T(8, 75, 1, ([1]))]
[1, 0, 13, 17]===[{9, 87}, {9, 84}, {2, 20}, {2, 11}, {3, 30}, {8, 79}, {6, 51}, {5, 47}, {2, 11}, {10, 91}, {7, 66}, {3, 30}, {10, 96}]===[T(5, 46, 1, ([1]))]
[1, 0, 13, 18]===[{6, 54}, {4, 32}, {5, 44}, {2, 15}, {3, 29}, {10, 95}, {4, 35}, {6, 57}, {7, 62}, {2, 14}, {5, 46}, {9, 84}, {9, 83}]===[T(10, 91, 1, ([1]))]
[1, 0, 13, 19]===[{10, 98}, {9, 90}, {2, 13}, {5, 46}, {3, 29}, {2, 20}, {3, 25}, {8, 78}, {10, 95}, {3, 23}, {1, 10}, {10, 96}, {4, 34}]===[T(3, 28, 3, ([1]))]
[1, 0, 13, 20]===[{10, 100}, {2, 17}, {7, 62}, {6, 59}, {2, 11}, {1, 10}, {5, 46}, {3, 28}, {1, 7}, {8, 73}, {5, 50}, {8, 79}, {9, 83}]===[T(10, 93, 2, ([0]))]
[1, 0, 13, 21]===[{4, 31}, {5, 46}, {8, 80}, {1, 2}, {6, 56}, {3, 28}, {3, 21}, {1, 5}, {1, 7}, {5, 44}, {3, 24}, {7, 70}, {8, 79}]===[T(1, 5, 1, ([0]))]
[1, 0, 13, 22]===[{4, 39}, {7, 61}, {6, 59}, {8, 77}, {1, 9}, {1, 9}, {5, 44}, {2, 17}, {8, 73}, {3, 25}, {2, 16}, {5, 41}, {10, 94}]===[T(10, 93, 3, ([0]))]
[1, 0, 13, 23]===[{3, 23}, {8, 79}, {1, 1}, {4, 38}, {6, 59}, {2, 13}, {6, 57}, {4, 32}, {4, 37}, {9, 87}, {9, 84}, {8, 74}, {4, 33}]===[T(10, 95, 4, ([0]))]
[1, 0, 13, 24]===[{6, 56}, {7, 64}, {3, 23}, {3, 21}, {3, 27}, {9, 88}, {10, 91}, {8, 77}, {3, 29}, {8, 73}, {5, 41}, {5, 44}, {4, 32}]===[T(8, 73, 3, ([0]))]
[1, 0, 13, 25]===[{1, 5}, {1, 2}, {6, 60}, {5, 46}, {1, 1}, {6, 52}, {9, 89}, {7, 67}, {6, 52}, {4, 38}, {10, 100}, {5, 49}, {7, 68}]===[T(9, 83, 4, ([1]))]
[1, 0, 13, 26]===[{4, 37}, {1, 5}, {7, 63}, {9, 82}, {5, 45}, {10, 96}, {5, 46}, {6, 55}, {3, 29}, {9, 87}, {2, 20}, {5, 48}, {10, 96}]===[T(3, 27, 1, ([0]))]
[1, 0, 13, 27]===[{7, 64}, {6, 58}, {9, 90}, {4, 40}, {10, 93}, {4, 31}, {7, 66}, {9, 90}, {1, 8}, {9, 83}, {10, 93}, {9, 83}, {4, 34}]===[T(5, 43, 3, ([1]))]
[1, 0, 13, 28]===[{8, 72}, {8, 71}, {7, 61}, {9, 88}, {9, 85}, {6, 58}, {7, 67}, {3, 26}, {1, 1}, {9, 88}, {3, 29}, {2, 12}, {9, 86}]===[T(5, 41, 2, ([1]))]
[1, 0, 13, 29]===[{4, 34}, {5, 41}, {8, 80}, {10, 91}, {5, 42}, {10, 100}, {9, 85}, {2, 16}, {2, 12}, {6, 51}, {9, 85}, {7, 63}, {10, 97}]===[T(7, 61, 3, ([0]))]
[1, 0, 13, 30]===[{9, 81}, {4, 38}, {5, 46}, {4, 34}, {4, 32}, {9, 84}, {6, 60}, {8, 79}, {4, 31}, {8, 71}, {9, 84}, {7, 63}, {9, 90}]===[T(7, 62, 4, ([1]))]
[1, 0, 13, 31]===[{8, 75}, {2, 19}, {7, 61}, {4, 35}, {1, 1}, {5, 49}, {5, 44}, {3, 25}, {10, 96}, {3, 23}, {3, 24}, {10, 92}, {7, 69}]===[T(4, 36, 3, ([1]))]
[1, 0, 13, 32]===[{4, 33}, {7, 70}, {9, 89}, {9, 90}, {6, 54}, {7, 68}, {7, 69}, {6, 52}, {8, 71}, {1, 1}, {10, 100}, {8, 72}, {4, 39}]===[T(5, 42, 3, ([0]))]
[1, 0, 13, 33]===[{10, 93}, {3, 29}, {2, 16}, {3, 29}, {8, 79}, {9, 87}, {9, 82}, {7, 68}, {7, 66}, {3, 22}, {1, 7}, {3, 26}, {5, 43}]===[T(10, 97, 3, ([1]))]
[1, 0, 13, 34]===[{7, 62}, {8, 71}, {9, 89}, {8, 77}, {1, 1}, {5, 47}, {6, 59}, {3, 26}, {6, 54}, {2, 13}, {5, 44}, {5, 49}, {7, 62}]===[T(9, 88, 2, ([1]))]
[1, 0, 13, 35]===[{7, 69}, {6, 57}, {10, 95}, {9, 86}, {8, 77}, {7, 70}, {9, 85}, {7, 62}, {10, 93}, {1, 8}, {5, 46}, {7, 68}, {2, 13}]===[T(2, 16, 1, ([0]))]
[1, 0, 13, 36]===[{9, 87}, {5, 47}, {8, 75}, {5, 42}, {5, 41}, {6, 55}, {10, 91}, {10, 93}, {2, 19}, {2, 13}, {9, 82}, {4, 39}, {3, 30}]===[T(7, 62, 1, ([1]))]
[1, 0, 13, 37]===[{1, 5}, {3, 21}, {1, 10}, {5, 42}, {1, 9}, {5, 46}, {4, 40}, {5, 46}, {8, 75}, {7, 61}, {1, 1}, {8, 79}, {1, 6}]===[T(9, 90, 2, ([0]))]
[1, 0, 13, 38]===[{5, 42}, {8, 76}, {6, 55}, {8, 76}, {10, 94}, {3, 23}, {9, 84}, {2, 13}, {10, 93}, {10, 100}, {3, 25}, {9, 85}, {3, 22}]===[T(8, 77, 3, ([1]))]
[1, 0, 13, 39]===[{3, 26}, {9, 86}, {7, 69}, {2, 13}, {5, 45}, {10, 91}, {2, 17}, {3, 22}, {10, 99}, {6, 53}, {3, 28}, {4, 34}, {4, 39}]===[T(5, 49, 2, ([0]))]
[1, 0, 13, 40]===[{3, 27}, {10, 92}, {6, 56}, {6, 58}, {7, 62}, {10, 92}, {4, 35}, {5, 49}, {3, 29}, {2, 14}, {5, 42}, {9, 81}, {9, 89}]===[T(9, 88, 1, ([0]))]
[1, 0, 13, 41]===[{3, 30}, {8, 75}, {3, 27}, {5, 43}, {9, 86}, {5, 46}, {9, 89}, {10, 94}, {8, 79}, {1, 1}, {6, 60}, {3, 29}, {4, 38}]===[T(5, 42, 2, ([0]))]
[1, 0, 13, 42]===[{1, 2}, {6, 60}, {9, 82}, {2, 16}, {4, 38}, {7, 66}, {2, 17}, {3, 27}, {6, 56}, {10, 98}, {10, 98}, {6, 60}, {1, 9}]===[T(9, 85, 1, ([0]))]
[1, 0, 13, 43]===[{8, 72}, {1, 8}, {2, 17}, {6, 57}, {6, 55}, {3, 21}, {1, 8}, {6, 59}, {4, 39}, {7, 67}, {2, 13}, {8, 78}, {9, 84}]===[T(3, 30, 4, ([1]))]
[1, 0, 13, 44]===[{9, 86}, {4, 33}, {1, 6}, {8, 71}, {5, 46}, {5, 43}, {7, 70}, {2, 17}, {2, 14}, {3, 22}, {8, 80}, {5, 47}, {3, 21}]===[T(5, 49, 2, ([1]))]
[1, 0, 13, 45]===[{6, 55}, {10, 96}, {4, 31}, {10, 98}, {2, 14}, {3, 25}, {6, 52}, {1, 1}, {7, 63}, {8, 73}, {9, 85}, {5, 46}, {8, 77}]===[T(9, 89, 1, ([1]))]
[1, 0, 13, 46]===[{8, 71}, {2, 16}, {8, 77}, {5, 50}, {10, 94}, {5, 43}, {7, 65}, {9, 86}, {9, 82}, {10, 96}, {2, 17}, {4, 33}, {1, 4}]===[T(3, 22, 3, ([1]))]
[1, 0, 13, 47]===[{8, 72}, {4, 33}, {3, 26}, {5, 49}, {1, 2}, {6, 57}, {9, 88}, {3, 28}, {10, 95}, {7, 68}, {2, 15}, {3, 27}, {3, 27}]===[T(9, 82, 3, ([0]))]
[1, 0, 13, 48]===[{10, 92}, {2, 16}, {6, 59}, {7, 70}, {9, 88}, {9, 83}, {2, 14}, {4, 32}, {8, 77}, {9, 83}, {7, 68}, {10, 91}, {8, 76}]===[T(4, 32, 3, ([0]))]
[1, 0, 13, 49]===[{8, 73}, {9, 88}, {2, 17}, {9, 90}, {7, 65}, {5, 47}, {2, 14}, {8, 75}, {4, 37}, {10, 93}, {8, 74}, {1, 2}, {9, 81}]===[T(6, 57, 4, ([1]))]
[1, 0, 13, 50]===[{4, 34}, {10, 91}, {2, 17}, {1, 7}, {5, 47}, {8, 74}, {2, 15}, {5, 43}, {10, 100}, {1, 8}, {2, 20}, {7, 64}, {8, 71}]===[T(2, 16, 3, ([1]))]
