CONTAINER ID,NAME,CPU %,MEM USAGE (B),MEM LIMIT (B),MEM %,NETWORK IN (kB),NETWORK OUT (kB),BLOCK IN (kB),BLOCK OUT (kB),PIDS
3c8ef68fae4f,sfe_drone,42.70%,82.63MiB,1.938GiB,4.16%,13.2MB,13.4MB,86kB,1.05MB,7
4792b602a5f2,sfe_laptop,106.10%,90.32MiB,1.938GiB,4.55%,13.4MB,13.2MB,90.1kB,1.07MB,6
3c8ef68fae4f,sfe_drone,46.12%,96.85MiB,1.938GiB,4.88%,13.3MB,13.5MB,86kB,1.05MB,7
4792b602a5f2,sfe_laptop,106.07%,99.51MiB,1.938GiB,5.01%,13.5MB,13.3MB,90.1kB,1.07MB,6
3c8ef68fae4f,sfe_drone,46.12%,96.85MiB,1.938GiB,4.88%,13.3MB,13.5MB,86kB,1.05MB,7
4792b602a5f2,sfe_laptop,106.07%,99.51MiB,1.938GiB,5.01%,13.5MB,13.3MB,90.1kB,1.07MB,6
3c8ef68fae4f,sfe_drone,0.79%,96.72MiB,1.938GiB,4.87%,13.3MB,13.5MB,86kB,1.05MB,7
4792b602a5f2,sfe_laptop,100.45%,99.51MiB,1.938GiB,5.01%,13.5MB,13.3MB,90.1kB,1.07MB,6
3c8ef68fae4f,sfe_drone,0.79%,96.72MiB,1.938GiB,4.87%,13.3MB,13.5MB,86kB,1.05MB,7
4792b602a5f2,sfe_laptop,100.45%,99.51MiB,1.938GiB,5.01%,13.5MB,13.3MB,90.1kB,1.07MB,6
3c8ef68fae4f,sfe_drone,75.24%,110.9MiB,1.938GiB,5.59%,13.4MB,13.6MB,86kB,1.05MB,5
4792b602a5f2,sfe_laptop,103.54%,108.8MiB,1.938GiB,5.48%,13.6MB,13.4MB,90.1kB,1.07MB,6
3c8ef68fae4f,sfe_drone,75.24%,110.9MiB,1.938GiB,5.59%,13.4MB,13.6MB,86kB,1.05MB,5
4792b602a5f2,sfe_laptop,103.54%,108.8MiB,1.938GiB,5.48%,13.6MB,13.4MB,90.1kB,1.07MB,6
3c8ef68fae4f,sfe_drone,28.66%,110.8MiB,1.938GiB,5.58%,13.4MB,13.6MB,86kB,1.05MB,7
4792b602a5f2,sfe_laptop,100.59%,108.9MiB,1.938GiB,5.49%,13.6MB,13.4MB,90.1kB,1.07MB,6
3c8ef68fae4f,sfe_drone,28.66%,110.8MiB,1.938GiB,5.58%,13.4MB,13.6MB,86kB,1.05MB,7
4792b602a5f2,sfe_laptop,100.59%,108.9MiB,1.938GiB,5.49%,13.6MB,13.4MB,90.1kB,1.07MB,6
3c8ef68fae4f,sfe_drone,68.42%,120MiB,1.938GiB,6.05%,13.5MB,13.6MB,86kB,1.05MB,5
4792b602a5f2,sfe_laptop,105.45%,122.8MiB,1.938GiB,6.19%,13.6MB,13.5MB,90.1kB,1.07MB,6
3c8ef68fae4f,sfe_drone,68.42%,120MiB,1.938GiB,6.05%,13.5MB,13.6MB,86kB,1.05MB,5
4792b602a5f2,sfe_laptop,105.45%,122.8MiB,1.938GiB,6.19%,13.6MB,13.5MB,90.1kB,1.07MB,6
3c8ef68fae4f,sfe_drone,99.95%,120MiB,1.938GiB,6.05%,13.5MB,13.6MB,86kB,1.05MB,5
4792b602a5f2,sfe_laptop,66.64%,122.9MiB,1.938GiB,6.19%,13.6MB,13.5MB,90.1kB,1.07MB,8
3c8ef68fae4f,sfe_drone,99.95%,120MiB,1.938GiB,6.05%,13.5MB,13.6MB,86kB,1.05MB,5
4792b602a5f2,sfe_laptop,66.64%,122.9MiB,1.938GiB,6.19%,13.6MB,13.5MB,90.1kB,1.07MB,8
3c8ef68fae4f,sfe_drone,106.76%,129.3MiB,1.938GiB,6.52%,13.5MB,13.7MB,86kB,1.05MB,5
4792b602a5f2,sfe_laptop,54.70%,132.2MiB,1.938GiB,6.66%,13.7MB,13.5MB,90.1kB,1.07MB,8
3c8ef68fae4f,sfe_drone,106.76%,129.3MiB,1.938GiB,6.52%,13.5MB,13.7MB,86kB,1.05MB,5
4792b602a5f2,sfe_laptop,54.70%,132.2MiB,1.938GiB,6.66%,13.7MB,13.5MB,90.1kB,1.07MB,8
3c8ef68fae4f,sfe_drone,106.04%,138.6MiB,1.938GiB,6.98%,13.6MB,13.8MB,86kB,1.05MB,5
4792b602a5f2,sfe_laptop,59.76%,141.4MiB,1.938GiB,7.13%,13.8MB,13.6MB,90.1kB,1.07MB,6
3c8ef68fae4f,sfe_drone,106.04%,138.6MiB,1.938GiB,6.98%,13.6MB,13.8MB,86kB,1.05MB,5
4792b602a5f2,sfe_laptop,59.76%,141.4MiB,1.938GiB,7.13%,13.8MB,13.6MB,90.1kB,1.07MB,6
3c8ef68fae4f,sfe_drone,106.50%,139MiB,1.938GiB,7.00%,13.7MB,13.8MB,86kB,1.05MB,11
4792b602a5f2,sfe_laptop,89.83%,141.8MiB,1.938GiB,7.14%,13.8MB,13.7MB,90.1kB,1.07MB,12
3c8ef68fae4f,sfe_drone,106.50%,139MiB,1.938GiB,7.00%,13.7MB,13.8MB,86kB,1.05MB,11
4792b602a5f2,sfe_laptop,89.83%,141.8MiB,1.938GiB,7.14%,13.8MB,13.7MB,90.1kB,1.07MB,12
3c8ef68fae4f,sfe_drone,106.88%,157.3MiB,1.938GiB,7.92%,13.7MB,13.9MB,86kB,1.05MB,5
4792b602a5f2,sfe_laptop,100.90%,160.1MiB,1.938GiB,8.06%,13.9MB,13.7MB,90.1kB,1.07MB,6
3c8ef68fae4f,sfe_drone,106.88%,157.3MiB,1.938GiB,7.92%,13.7MB,13.9MB,86kB,1.05MB,5
4792b602a5f2,sfe_laptop,100.90%,160.1MiB,1.938GiB,8.06%,13.9MB,13.7MB,90.1kB,1.07MB,6
3c8ef68fae4f,sfe_drone,106.38%,166.5MiB,1.938GiB,8.39%,13.8MB,14MB,86kB,1.05MB,5
4792b602a5f2,sfe_laptop,56.05%,169.4MiB,1.938GiB,8.53%,14MB,13.8MB,90.1kB,1.07MB,6
3c8ef68fae4f,sfe_drone,106.38%,166.5MiB,1.938GiB,8.39%,13.8MB,14MB,86kB,1.05MB,5
4792b602a5f2,sfe_laptop,56.05%,169.4MiB,1.938GiB,8.53%,14MB,13.8MB,90.1kB,1.07MB,6
3c8ef68fae4f,sfe_drone,99.95%,166.5MiB,1.938GiB,8.39%,13.8MB,14MB,86kB,1.05MB,5
4792b602a5f2,sfe_laptop,23.55%,169.4MiB,1.938GiB,8.53%,14MB,13.8MB,90.1kB,1.07MB,8
3c8ef68fae4f,sfe_drone,99.95%,166.5MiB,1.938GiB,8.39%,13.8MB,14MB,86kB,1.05MB,5
4792b602a5f2,sfe_laptop,23.55%,169.4MiB,1.938GiB,8.53%,14MB,13.8MB,90.1kB,1.07MB,8
3c8ef68fae4f,sfe_drone,100.44%,166.5MiB,1.938GiB,8.39%,13.8MB,14MB,86kB,1.05MB,5
4792b602a5f2,sfe_laptop,0.00%,169.4MiB,1.938GiB,8.53%,14MB,13.8MB,90.1kB,1.07MB,8
3c8ef68fae4f,sfe_drone,100.44%,166.5MiB,1.938GiB,8.39%,13.8MB,14MB,86kB,1.05MB,5
4792b602a5f2,sfe_laptop,0.00%,169.4MiB,1.938GiB,8.53%,14MB,13.8MB,90.1kB,1.07MB,8
3c8ef68fae4f,sfe_drone,105.75%,175.8MiB,1.938GiB,8.86%,13.9MB,14.1MB,86kB,1.05MB,5
4792b602a5f2,sfe_laptop,91.62%,178.7MiB,1.938GiB,9.00%,14.1MB,13.9MB,90.1kB,1.07MB,6
3c8ef68fae4f,sfe_drone,105.75%,175.8MiB,1.938GiB,8.86%,13.9MB,14.1MB,86kB,1.05MB,5
4792b602a5f2,sfe_laptop,91.62%,178.7MiB,1.938GiB,9.00%,14.1MB,13.9MB,90.1kB,1.07MB,6
3c8ef68fae4f,sfe_drone,99.80%,175.8MiB,1.938GiB,8.86%,13.9MB,14.1MB,86kB,1.05MB,5
4792b602a5f2,sfe_laptop,100.29%,178.7MiB,1.938GiB,9.00%,14.1MB,13.9MB,90.1kB,1.07MB,6
3c8ef68fae4f,sfe_drone,99.80%,175.8MiB,1.938GiB,8.86%,13.9MB,14.1MB,86kB,1.05MB,5
4792b602a5f2,sfe_laptop,100.29%,178.7MiB,1.938GiB,9.00%,14.1MB,13.9MB,90.1kB,1.07MB,6
3c8ef68fae4f,sfe_drone,107.48%,185.2MiB,1.938GiB,9.33%,13.9MB,14.1MB,86kB,1.05MB,5
4792b602a5f2,sfe_laptop,82.44%,188MiB,1.938GiB,9.47%,14.1MB,13.9MB,90.1kB,1.07MB,6
3c8ef68fae4f,sfe_drone,107.48%,185.2MiB,1.938GiB,9.33%,13.9MB,14.1MB,86kB,1.05MB,5
4792b602a5f2,sfe_laptop,82.44%,188MiB,1.938GiB,9.47%,14.1MB,13.9MB,90.1kB,1.07MB,6
3c8ef68fae4f,sfe_drone,107.48%,185.2MiB,1.938GiB,9.33%,13.9MB,14.1MB,86kB,1.05MB,5
4792b602a5f2,sfe_laptop,82.44%,188MiB,1.938GiB,9.47%,14.1MB,13.9MB,90.1kB,1.07MB,6
3c8ef68fae4f,sfe_drone,78.35%,194.4MiB,1.938GiB,9.80%,14MB,14.2MB,86kB,1.05MB,5
4792b602a5f2,sfe_laptop,105.90%,197.2MiB,1.938GiB,9.94%,14.2MB,14MB,90.1kB,1.07MB,6
3c8ef68fae4f,sfe_drone,78.35%,194.4MiB,1.938GiB,9.80%,14MB,14.2MB,86kB,1.05MB,5
4792b602a5f2,sfe_laptop,105.90%,197.2MiB,1.938GiB,9.94%,14.2MB,14MB,90.1kB,1.07MB,6
3c8ef68fae4f,sfe_drone,41.62%,194.7MiB,1.938GiB,9.81%,14.1MB,14.3MB,86kB,1.05MB,11
4792b602a5f2,sfe_laptop,106.45%,197.5MiB,1.938GiB,9.95%,14.3MB,14.1MB,90.1kB,1.07MB,12
3c8ef68fae4f,sfe_drone,41.62%,194.7MiB,1.938GiB,9.81%,14.1MB,14.3MB,86kB,1.05MB,11
4792b602a5f2,sfe_laptop,106.45%,197.5MiB,1.938GiB,9.95%,14.3MB,14.1MB,90.1kB,1.07MB,12
3c8ef68fae4f,sfe_drone,73.45%,204MiB,1.938GiB,10.28%,14.1MB,14.3MB,86kB,1.05MB,11
4792b602a5f2,sfe_laptop,105.25%,206.8MiB,1.938GiB,10.42%,14.3MB,14.1MB,90.1kB,1.07MB,12
3c8ef68fae4f,sfe_drone,73.45%,204MiB,1.938GiB,10.28%,14.1MB,14.3MB,86kB,1.05MB,11
4792b602a5f2,sfe_laptop,105.25%,206.8MiB,1.938GiB,10.42%,14.3MB,14.1MB,90.1kB,1.07MB,12
3c8ef68fae4f,sfe_drone,100.27%,213MiB,1.938GiB,10.73%,14.2MB,14.3MB,86kB,1.05MB,5
4792b602a5f2,sfe_laptop,48.44%,215.9MiB,1.938GiB,10.88%,14.3MB,14.2MB,90.1kB,1.07MB,8
3c8ef68fae4f,sfe_drone,100.27%,213MiB,1.938GiB,10.73%,14.2MB,14.3MB,86kB,1.05MB,5
4792b602a5f2,sfe_laptop,48.44%,215.9MiB,1.938GiB,10.88%,14.3MB,14.2MB,90.1kB,1.07MB,8
3c8ef68fae4f,sfe_drone,106.65%,222.3MiB,1.938GiB,11.20%,14.2MB,14.4MB,86kB,1.05MB,5
4792b602a5f2,sfe_laptop,86.32%,225.1MiB,1.938GiB,11.34%,14.4MB,14.2MB,90.1kB,1.07MB,6
3c8ef68fae4f,sfe_drone,106.65%,222.3MiB,1.938GiB,11.20%,14.2MB,14.4MB,86kB,1.05MB,5
4792b602a5f2,sfe_laptop,86.32%,225.1MiB,1.938GiB,11.34%,14.4MB,14.2MB,90.1kB,1.07MB,6
3c8ef68fae4f,sfe_drone,81.46%,231.6MiB,1.938GiB,11.67%,14.3MB,14.5MB,86kB,1.05MB,7
4792b602a5f2,sfe_laptop,91.80%,234.4MiB,1.938GiB,11.81%,14.5MB,14.3MB,90.1kB,1.07MB,6
3c8ef68fae4f,sfe_drone,81.46%,231.6MiB,1.938GiB,11.67%,14.3MB,14.5MB,86kB,1.05MB,7
